country_name_ltn,level,nuts_id,nameSHORT,chart,value2plot
Italy,regional,ITC,North-West,2,0.5130208333333334
Italy,regional,ITF,South,2,0.5414507772020726
Italy,regional,ITG,Islands,2,0.5744125326370757
Italy,regional,ITH,North-East,2,0.5333333333333333
Italy,regional,ITI,Centre,2,0.538562091503268
Lithuania,regional,LT01,Capital Region,2,0.4379172229639519
Lithuania,regional,LT02,Central/Western Region,2,0.4606141522029373
Luxembourg,regional,LU00,Luxembourg,2,0.782392026578073
Malta,regional,MT00,Malta,2,0.47695390781563124
Netherlands,regional,NL1,North Netherlands,2,0.7343957503320053
Netherlands,regional,NL2,East Netherlands,2,0.8036890645586298
Netherlands,regional,NL3,West Netherlands,2,0.8010403120936281
Netherlands,regional,NL4,South Netherlands,2,0.7483702737940026
Portugal,regional,PT1,Continental Portugal,2,0.6086956521739131
Portugal,regional,PT2,Azores,2,0.5255905511811023
Portugal,regional,PT3,Madeira,2,0.7839388145315488
Slovakia,regional,SK01,Bratislava,2,0.5127551020408163
Slovakia,regional,SK02,West Slovakia,2,0.5245901639344263
Slovakia,regional,SK03,Central Slovakia,2,0.48172757475083056
Slovakia,regional,SK04,East Slovakia,2,0.5304347826086957
Slovenia,regional,SI03,East Slovenia,2,0.42376237623762375
Slovenia,regional,SI04,West Slovenia,2,0.433852140077821
Spain,regional,ES1,North-West,2,0.5568862275449101
Spain,regional,ES2,North-East,2,0.500998003992016
Spain,regional,ES3,Madrid,2,0.5210420841683366
Spain,regional,ES4,Centre,2,0.5691382765531062
Spain,regional,ES5,East,2,0.48747591522157996
Spain,regional,ES6,South,2,0.5533596837944664
Spain,regional,ES7,Canary Islands,2,0.57
Sweden,regional,SE1,Eastern Sweden,2,0.7252747252747253
Sweden,regional,SE2,Southern Sweden,2,0.7325349301397206
Sweden,regional,SE3,Northern Sweden,2,0.717948717948718
Austria,regional,AT1,East Austria,3,0.4859335038363171
Austria,regional,AT2,South Austria,3,0.5495376486129459
Austria,regional,AT3,West Austria,3,0.5202086049543677
Belgium,regional,BE1,Brussels Region,3,0.5357142857142857
Belgium,regional,BE2,Flemish Region,3,0.4181459566074951
Belgium,regional,BE3,Waloon Region,3,0.48906560636182905
Bulgaria,regional,BG3,North and South-East,3,0.3951612903225806
Bulgaria,regional,BG4,South -West/-Central,3,0.3301759133964817
Croatia,regional,HR02,Pannonian Croatia,3,0.48502994011976047
Croatia,regional,HR03,Adriatic Croatia,3,0.49899799599198397
Croatia,regional,HR05,Zagreb,3,0.4779116465863454
Croatia,regional,HR06,Northern Croatia,3,0.43172690763052207
Cyprus,regional,CY0,Cyprus,3,0.26957383548067393
Czechia,regional,CZ01,Prague,3,0.5736434108527132
Czechia,regional,CZ02,Central Bohemia,3,0.5658914728682171
Czechia,regional,CZ03,South-West,3,0.4939759036144578
Czechia,regional,CZ04,North-West,3,0.5020242914979757
Czechia,regional,CZ05,North-East,3,0.484375
Czechia,regional,CZ06,South-East,3,0.528
